pc_time,timestamp_ms,elapsed_s,phase,direction_deg,target_speed_mps,stm32_cmd_speed_mps,actual_speed_mps,speed_error_mps,status_transport_delay_s,test_mode,test_state,fault,flags,vesc_online,imu_online,rc_online,control_valid,target_vx,target_vy,target_wz,actual_vx,actual_vy,actual_wz,vx_error,lf_target_rpm,lf_feedback_rpm,rf_target_rpm,rf_feedback_rpm,lb_target_rpm,lb_feedback_rpm,rb_target_rpm,rb_feedback_rpm,gyro_z,yaw,odom_x,odom_y,odom_yaw
2026-08-03T14:53:10.214,3683,1.06,step,0.0,0.5,,0.3816324770450592,0.1183675229549408,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.3816324770450592,-0.0029435292817652225,-0.008715645410120487,0.1183675229549408,-6372,-6204,-6393,-5865,6495,6236,6464,6198,-0.001065264455974102,-0.0010029462864622474,0.001733741955831647,0.22367705404758453,-0.057464588433504105
2026-08-03T14:53:10.230,3703,1.08,step,0.0,0.5,,0.38787364959716797,0.11212635040283203,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.38787364959716797,-0.004289882257580757,0.01594230718910694,0.11212635040283203,-6502,-6331,-6485,-5865,6635,6335,6550,6358,0.04261057823896408,-0.0004942825762555003,0.003746050177142024,0.22972352802753448,-0.028320305049419403
2026-08-03T14:53:10.248,3723,1.1,step,0.0,0.5,,0.395534485578537,0.10446551442146301,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.395534485578537,-0.00374212465249002,0.0161718912422657,0.10446551442146301,-6614,-6422,-6588,-6398,6746,6496,6657,6401,0.00532632227987051,-1.2250382496858947e-05,-0.003980880603194237,0.24668602645397186,-0.0007018952164798975
2026-08-03T14:53:10.275,3743,1.12,step,0.0,0.5,,0.4035055339336395,0.09649446606636047,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4035055339336395,-0.0020699917804449797,0.008221050724387169,0.09649446606636047,-6718,-6511,-6697,-6398,6844,6615,6776,6470,0.013848437927663326,-1.2250382496858947e-05,-0.0024588247761130333,0.25347474217414856,-0.0007018952164798975
2026-08-03T14:53:10.295,3763,1.14,step,0.0,0.5,,0.41024529933929443,0.08975470066070557,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.41024529933929443,-0.0014502729754894972,0.01436087116599083,0.08975470066070557,-6837,-6584,-6798,-6398,6962,6738,6882,6604,0.014913702383637428,0.00036858164821751416,-0.0003942216862924397,0.259835422039032,0.021118173375725746
2026-08-03T14:53:10.310,3783,1.16,step,0.0,0.5,,0.41662871837615967,0.08337128162384033,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.41662871837615967,-0.0015955837443470955,-0.002109827008098364,0.08337128162384033,-6933,-6709,-6922,-6398,7061,6863,7008,6715,-0.01810949482023716,0.00021678146731574088,0.0016967160627245903,0.2663108706474304,0.012420663610100746
2026-08-03T14:53:10.330,3803,1.18,step,0.0,0.5,,0.4231698513031006,0.07683014869689941,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4231698513031006,-0.0028690744657069445,0.007076722104102373,0.07683014869689941,-7048,-6890,-7027,-6398,7185,6968,7108,6892,0.024501081556081772,0.00031798158306628466,0.0038499427028000355,0.2729213833808899,0.018219003453850746
2026-08-03T14:53:10.343,3823,1.2,step,0.0,0.5,,0.43180567026138306,0.06819432973861694,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.43180567026138306,-0.0027199015021324158,-0.0018345583230257034,0.06819432973861694,-7147,-6997,-7139,-6996,7285,7121,7222,6988,-0.022370552644133568,0.00034993953886441886,-0.0051949103362858295,0.2909192144870758,0.020050058141350746
2026-08-03T14:53:10.378,3843,1.22,step,0.0,0.5,,0.4405870735645294,0.05941292643547058,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4405870735645294,-0.0011753913713619113,-0.002769472310319543,0.05941292643547058,-7254,-7098,-7241,-6996,7386,7221,7334,7063,0.008522115647792816,0.00015552877448499203,-0.002974024973809719,0.2977618873119354,0.008911142125725746
2026-08-03T14:53:10.393,3863,1.24,step,0.0,0.5,,0.4475080370903015,0.052491962909698486,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4475080370903015,-0.0008148904889822006,0.0040777502581477165,0.052491962909698486,-7371,-7168,-7342,-6996,7504,7304,7439,7165,0.002130528911948204,0.00037923429044894874,-0.0007190683973021805,0.30468571186065674,0.021728524938225746
